Timepoint,Term,genes,FoldEnrichment,Pvalue,Category
Mid-AAE,regulation of cell junction assembly,121,1.64,6.55e-6,Adhesion & Junction
Mid-AAE,regulation of mRNA metabolic process,149,1.63,1.54e-7,RNA & Chromatin
Mid-AAE,transforming growth factor beta receptor superfamily signaling pathway,69,1.63,0.049,Cell Signaling
Mid-AAE,cell morphogenesis involved in neuron differentiation,189,1.61,1.69e-9,Neuronal Development
Mid-AAE,axonogenesis,155,1.6,2.76e-7,Axon & Projection
Mid-AAE,plasma membrane bounded cell projection morphogenesis,209,1.59,1.81e-10,Development & Growth
Mid-AAE,neuron projection guidance,98,1.59,0.00177,Axon & Projection
Mid-AAE,axon guidance,97,1.59,0.00233,Axon & Projection
Mid-AAE,post-transcriptional regulation of gene expression,222,1.59,4.41e-11,Other
Mid-AAE,neuron projection morphogenesis,206,1.59,4.67e-10,Axon & Projection
Mid-AAE,regulation of developmental growth,129,1.58,3.17e-5,Development & Growth
Mid-AAE,cell junction assembly,121,1.58,1.13e-4,Adhesion & Junction
Mid-AAE,rhythmic process,111,1.58,4.71e-4,Other
Mid-AAE,cell projection morphogenesis,210,1.58,5.97e-10,Development & Growth
Mid-AAE,negative regulation of catabolic process,158,1.58,8.74e-7,RNA & Chromatin
Mid-AAE,pallium development,82,1.57,0.043,Development & Growth
Mid-AAE,regulation of cellular response to growth factor stimulus,134,1.56,5.01e-5,Development & Growth
Mid-AAE,synapse organization,157,1.56,2.08e-6,Dendrite & Synapse
Mid-AAE,forebrain development,170,1.56,3.64e-7,Neuronal Development
Mid-AAE,axon development,175,1.56,2.28e-7,Axon & Projection
Mid-AAE,regulation of translation,152,1.56,6.02e-6,RNA & Chromatin
Mid-AAE,telencephalon development,117,1.54,0.0011,Neuronal Development
Mid-AAE,kidney development,122,1.53,0.00101,Development & Growth
Mid-AAE,renal system development,125,1.52,0.00114,Development & Growth
Mid-AAE,protein polyubiquitination,105,1.52,0.0122,Other
Mid-AAE,heart morphogenesis,104,1.52,0.0158,Development & Growth
Mid-AAE,cell morphogenesis,284,1.51,1.36e-11,Development & Growth
Mid-AAE,cell junction organization,225,1.5,3.44e-8,Adhesion & Junction
Mid-AAE,enzyme-linked receptor protein signaling pathway,248,1.5,3.18e-9,Cell Signaling
Mid-AAE,neuron projection development,283,1.49,1e-10,Axon & Projection
Mid-AAE,heart development,222,1.48,1.84e-7,Development & Growth
Mid-AAE,cell surface receptor protein tyrosine kinase signaling pathway,167,1.48,8.03e-5,Cell Signaling
Mid-AAE,regulation of canonical Wnt signaling pathway,105,1.48,0.0482,Cell Signaling
Mid-AAE,cellular response to growth factor stimulus,176,1.48,2.94e-5,Development & Growth
Mid-AAE,response to growth factor,188,1.48,9.39e-6,Development & Growth
Mid-AAE,positive regulation of cell projection organization,135,1.47,0.00389,Other
Mid-AAE,negative regulation of protein metabolic process,214,1.46,1.52e-6,General Regulation
Mid-AAE,neuron development,346,1.45,1.08e-11,Neuronal Development
Mid-AAE,protein phosphorylation,121,1.45,0.0312,Other
Mid-AAE,regulation of neuron projection development,165,1.44,7.1e-4,Axon & Projection
Mid-AAE,generation of neurons,455,1.44,1.57e-15,Neuronal Development
Mid-AAE,brain development,282,1.43,5.64e-8,Neuronal Development
Mid-AAE,central nervous system development,384,1.42,1e-11,Neuronal Development
Mid-AAE,cell-cell adhesion,208,1.42,4.72e-5,Adhesion & Junction
Mid-AAE,head development,299,1.42,3.36e-8,Development & Growth
Mid-AAE,neurogenesis,515,1.41,2.87e-16,Neuronal Development
Mid-AAE,phosphorylation,134,1.41,0.0495,Other
Mid-AAE,intracellular protein transport,203,1.41,1.56e-4,Other
Mid-AAE,organelle localization,206,1.41,2.11e-4,Other
Mid-AAE,neuron differentiation,417,1.4,6.31e-12,Neuronal Development
Mid-AAE,positive regulation of RNA metabolic process,678,1.4,8.37e-22,RNA & Chromatin
Mid-AAE,morphogenesis of an epithelium,177,1.4,0.0022,Development & Growth
Mid-AAE,regulation of plasma membrane bounded cell projection organization,235,1.4,2.85e-5,Other
Mid-AAE,regulation of cell projection organization,241,1.4,2.05e-5,Other
Mid-AAE,tissue morphogenesis,220,1.4,1.22e-4,Development & Growth
Mid-AAE,muscle structure development,194,1.39,0.00121,Development & Growth
Mid-AAE,localization within membrane,212,1.39,3.01e-4,Other
Mid-AAE,positive regulation of transcription by RNA polymerase II,464,1.39,9.45e-13,RNA & Chromatin
Mid-AAE,positive regulation of cellular component biogenesis,187,1.38,0.00315,General Regulation
Mid-AAE,cell division,190,1.38,0.00301,Other
Mid-AAE,negative regulation of transcription by RNA polymerase II,375,1.38,5.3300000000000004e-09,RNA & Chromatin
Mid-AAE,positive regulation of DNA-templated transcription,618,1.38,3.82e-17,Other
Mid-AAE,positive regulation of RNA biosynthetic process,618,1.38,5.28e-17,RNA & Chromatin
Mid-AAE,nervous system development,820,1.38,3.63e-24,Neuronal Development
Mid-AAE,modulation of chemical synaptic transmission,189,1.38,0.00512,Synaptic Transmission
Mid-AAE,regulation of cell migration,344,1.38,6.56e-8,Neuronal Development
Mid-AAE,regulation of trans-synaptic signaling,189,1.37,0.00533,Synaptic Transmission
Mid-AAE,regulation of cellular component biogenesis,380,1.37,8.76e-9,General Regulation
Mid-AAE,positive regulation of catabolic process,196,1.37,0.00529,RNA & Chromatin
Mid-AAE,regulation of cytoskeleton organization,195,1.36,0.00652,Other
Mid-AAE,tube morphogenesis,249,1.36,1.6e-4,Development & Growth
Mid-AAE,embryonic morphogenesis,216,1.36,0.002,Development & Growth
Mid-AAE,negative regulation of RNA metabolic process,547,1.36,1.91e-13,RNA & Chromatin
Mid-AAE,circulatory system development,340,1.36,7.09e-7,Development & Growth
Mid-AAE,regulation of catabolic process,388,1.35,3.13e-8,RNA & Chromatin
Mid-AAE,intracellular signal transduction,619,1.35,4.44e-15,Cell Signaling
Mid-AAE,negative regulation of signal transduction,502,1.35,2.89e-11,Cell Signaling
Mid-AAE,protein modification by small protein conjugation,238,1.35,9.52e-4,Ion Transport
Mid-AAE,negative regulation of nucleobase-containing compound metabolic process,586,1.35,1.29e-13,RNA & Chromatin
Mid-AAE,protein modification process,523,1.34,1.49e-11,Ion Transport
Mid-AAE,negative regulation of DNA-templated transcription,492,1.34,1.42e-10,Other
Mid-AAE,post-translational protein modification,295,1.34,4.92e-5,RNA & Chromatin
Mid-AAE,regulation of cell differentiation,554,1.34,5.04e-12,Development & Growth
Mid-AAE,regulation of protein localization,318,1.34,1.71e-5,Other
Mid-AAE,protein ubiquitination,209,1.34,0.0121,Other
Mid-AAE,protein modification by small protein conjugation or removal,275,1.34,2.38e-4,Ion Transport
Mid-AAE,negative regulation of macromolecule metabolic process,926,1.33,9.83e-23,General Regulation
Mid-AAE,negative regulation of RNA biosynthetic process,492,1.33,5.71e-10,RNA & Chromatin
Mid-AAE,regulation of cellular localization,192,1.33,0.0408,General Regulation
Mid-AAE,negative regulation of signaling,530,1.33,4.68e-11,Cell Signaling
Mid-AAE,regulation of developmental process,885,1.33,2.54e-21,Development & Growth
Mid-AAE,regulation of cell motility,354,1.33,2.95e-6,Other
Mid-AAE,negative regulation of cell communication,529,1.33,7.57e-11,Ion Transport
Mid-AAE,negative regulation of intracellular signal transduction,260,1.33,0.00121,Cell Signaling
Mid-AAE,negative regulation of cell differentiation,237,1.33,0.00468,Development & Growth
Mid-AAE,regulation of transcription by RNA polymerase II,924,1.33,1.2e-21,RNA & Chromatin
Mid-AAE,positive regulation of intracellular signal transduction,406,1.33,3e-7,Cell Signaling
Mid-AAE,regulation of locomotion,368,1.33,2.75e-6,Other
Mid-AAE,negative regulation of metabolic process,995,1.32,8.67e-23,General Regulation
Mid-AAE,positive regulation of developmental process,458,1.31,5.12e-8,Development & Growth
Mid-AAE,behavior,227,1.31,0.0196,Learning & Behavior
Mid-AAE,plasma membrane bounded cell projection organization,413,1.31,8.55e-7,Other
Mid-AAE,sensory organ development,218,1.31,0.0386,Development & Growth
Mid-AAE,positive regulation of cellular component organization,387,1.31,5.67e-6,General Regulation
Mid-AAE,regulation of RNA metabolic process,1273,1.31,7.64e-30,RNA & Chromatin
Mid-AAE,cell migration,321,1.31,1.88e-4,Neuronal Development
Mid-AAE,cellular response to endogenous stimulus,322,1.31,1.95e-4,Other
Mid-AAE,intracellular signaling cassette,271,1.31,0.0033,Cell Signaling
Mid-AAE,regulation of protein metabolic process,532,1.31,2.96e-9,General Regulation
Mid-AAE,positive regulation of cell differentiation,294,1.31,0.00113,Development & Growth
Mid-AAE,tube development,316,1.3,3.79e-4,Development & Growth
Mid-AAE,macromolecule modification,577,1.3,4.63e-10,Ion Transport
Mid-AAE,cell projection organization,429,1.3,1.35e-6,Other
Mid-AAE,negative regulation of macromolecule biosynthetic process,771,1.3,1.69e-14,General Regulation
Mid-AAE,chromatin organization,296,1.3,0.0021,RNA & Chromatin
Mid-AAE,regulation of anatomical structure morphogenesis,286,1.3,0.00319,Development & Growth
Mid-AAE,intracellular protein localization,637,1.29,8.16e-11,Other
Mid-AAE,animal organ morphogenesis,336,1.29,4.48e-4,Development & Growth
Mid-AAE,negative regulation of response to stimulus,601,1.29,7.07e-10,General Regulation
Mid-AAE,regulation of DNA-templated transcription,1149,1.29,4.69e-23,Other
Mid-AAE,regulation of nucleobase-containing compound metabolic process,1355,1.29,1.48e-28,RNA & Chromatin
Mid-AAE,negative regulation of biosynthetic process,791,1.29,8.7e-14,Other
Mid-AAE,cell adhesion,326,1.29,0.00109,Adhesion & Junction
Mid-AAE,cellular localization,653,1.28,1.58e-10,Other
Mid-AAE,regulation of RNA biosynthetic process,1149,1.28,2.22e-22,RNA & Chromatin
Mid-AAE,negative regulation of gene expression,376,1.28,1.49e-4,Other
Mid-AAE,intracellular transport,430,1.28,1.26e-5,Other
Mid-AAE,regulation of intracellular signal transduction,693,1.28,3.46e-11,Cell Signaling
Mid-AAE,positive regulation of biosynthetic process,915,1.28,4.51e-16,Other
Mid-AAE,positive regulation of macromolecule metabolic process,1072,1.28,8.25e-20,General Regulation
Mid-AAE,establishment of localization in cell,532,1.28,1.92e-7,Other
Mid-AAE,regulation of biological quality,1028,1.28,2.77e-18,General Regulation
Mid-AAE,negative regulation of developmental process,328,1.28,0.00239,Development & Growth
Mid-AAE,positive regulation of macromolecule biosynthetic process,871,1.28,1.62e-14,General Regulation
Mid-AAE,cell development,778,1.27,4.24e-12,Development & Growth
Mid-AAE,negative regulation of cellular process,1753,1.27,6.23e-37,General Regulation
Mid-AAE,regulation of multicellular organismal development,477,1.27,5.67e-6,Development & Growth
Mid-AAE,regulation of cellular component organization,858,1.27,1.15e-13,General Regulation
Mid-AAE,regulation of organelle organization,397,1.27,2.29e-4,Other
Mid-AAE,anatomical structure morphogenesis,762,1.27,1.99e-11,Development & Growth
Mid-AAE,regulation of primary metabolic process,1747,1.27,7.21e-36,General Regulation
Mid-AAE,protein transport,368,1.27,9.65e-4,Other
Mid-AAE,system development,1213,1.26,9.72e-21,Development & Growth
Mid-AAE,embryo development,356,1.26,0.0025,Development & Growth
Mid-AAE,negative regulation of biological process,1820,1.26,2.1e-36,General Regulation
Mid-AAE,positive regulation of metabolic process,1165,1.26,2.23e-19,General Regulation
Mid-AAE,epithelium development,369,1.26,0.0016,Development & Growth
Mid-AAE,positive regulation of signaling,606,1.26,1.16e-7,Cell Signaling
Mid-AAE,positive regulation of signal transduction,544,1.26,1.63e-6,Cell Signaling
Mid-AAE,multicellular organism development,1340,1.26,5.02e-23,Development & Growth
Mid-AAE,response to endogenous stimulus,397,1.25,0.00124,Other
Mid-AAE,macromolecule localization,762,1.25,4.55e-10,Other
Mid-AAE,positive regulation of cell communication,602,1.25,4.37e-7,Ion Transport
Mid-AAE,establishment of protein localization,435,1.25,3.52e-4,Other
Mid-AAE,regulation of signaling,1189,1.24,1.46e-17,Cell Signaling
Mid-AAE,regulation of gene expression,1626,1.24,2.86e-27,Other
Mid-AAE,regulation of macromolecule metabolic process,1891,1.24,7.86e-34,General Regulation
Mid-AAE,regulation of cell communication,1190,1.24,2.33e-17,Ion Transport
Mid-AAE,tissue development,587,1.24,2.84e-6,Development & Growth
Mid-AAE,regulation of signal transduction,1042,1.24,2.46e-14,Cell Signaling
Mid-AAE,regulation of macromolecule biosynthetic process,1656,1.24,4.14e-27,General Regulation
Mid-AAE,nitrogen compound transport,502,1.24,1.15e-4,Other
Mid-AAE,positive regulation of cellular process,1908,1.24,1.57e-32,General Regulation
Mid-AAE,regulation of biosynthetic process,1705,1.23,1.69e-26,Other
Mid-AAE,regulation of localization,651,1.22,4.96e-6,Other
Mid-AAE,regulation of metabolic process,2037,1.22,1.59e-32,General Regulation
Mid-AAE,cellular response to stress,540,1.22,3.55e-4,Other
Mid-AAE,cellular developmental process,1209,1.22,2.85e-14,Development & Growth
Mid-AAE,positive regulation of biological process,1994,1.22,4.97e-30,General Regulation
Mid-AAE,cell differentiation,1207,1.22,4.03e-14,Development & Growth
Mid-AAE,animal organ development,933,1.21,3.47e-9,Development & Growth
Mid-AAE,regulation of apoptotic process,469,1.21,0.00791,Other
Mid-AAE,regulation of programmed cell death,487,1.21,0.00482,Other
Mid-AAE,vesicle-mediated transport,425,1.21,0.0396,Other
Mid-AAE,regulation of cell population proliferation,522,1.2,0.00667,Other
Mid-AAE,anatomical structure development,1687,1.2,2.58e-19,Development & Growth
Mid-AAE,regulation of multicellular organismal process,949,1.19,1.49e-7,General Regulation
Mid-AAE,developmental process,1856,1.19,8.43e-21,Development & Growth
Mid-AAE,cellular component organization,1814,1.18,4.4e-18,General Regulation
Mid-AAE,regulation of response to stimulus,1293,1.17,2.02e-9,General Regulation
Mid-AAE,cellular component organization or biogenesis,1861,1.17,1.99e-16,General Regulation
Mid-AAE,positive regulation of response to stimulus,716,1.16,0.0071,General Regulation
Mid-AAE,localization,1404,1.16,1.91e-9,Other
Mid-AAE,regulation of biological process,3606,1.15,6.48e-46,General Regulation
Mid-AAE,regulation of cellular process,3468,1.14,3.38e-40,General Regulation
Mid-AAE,biological regulation,3706,1.14,4.37e-45,General Regulation
Mid-AAE,macromolecule biosynthetic process,887,1.14,0.018,Other
Mid-AAE,macromolecule metabolic process,1613,1.13,3.01e-7,General Regulation
Mid-AAE,transport,1113,1.13,0.0024,Other
Mid-AAE,establishment of localization,1180,1.13,0.0011,Other
Mid-AAE,protein metabolic process,983,1.13,0.0219,General Regulation
Mid-AAE,multicellular organismal process,1912,1.12,2.28e-7,General Regulation
Mid-AAE,cell communication,1535,1.1,0.00539,Ion Transport
Mid-AAE,signaling,1515,1.09,0.0238,Cell Signaling
Mid-AAE,cellular response to stimulus,1851,1.09,0.00447,Other
Mid-AAE,primary metabolic process,1925,1.08,0.00929,General Regulation
Mid-AAE,metabolic process,2162,1.07,0.0088,General Regulation
Mid-AAE,cellular process,4413,1.07,4.22e-25,General Regulation
Mid-AAE,biological_process,4958,1.06,1.21e-35,General Regulation
Post-AAE,axonal fasciculation,19,2.32,0.0473,Axon & Projection
Post-AAE,neuron projection fasciculation,19,2.32,0.0473,Axon & Projection
Post-AAE,central nervous system projection neuron axonogenesis,23,2.23,0.0174,Axon & Projection
Post-AAE,positive regulation of dendritic spine development,30,2.05,0.0129,Dendrite & Synapse
Post-AAE,central nervous system neuron axonogenesis,28,2.01,0.0492,Axon & Projection
Post-AAE,regulation of filopodium assembly,33,1.97,0.0166,Dendrite & Synapse
Post-AAE,cerebral cortex cell migration,34,1.95,0.0158,Neuronal Development
Post-AAE,forebrain cell migration,45,1.94,5.6e-4,Neuronal Development
Post-AAE,regulation of dendritic spine development,39,1.92,0.00496,Dendrite & Synapse
Post-AAE,dendrite morphogenesis,43,1.92,0.00175,Dendrite & Synapse
Post-AAE,telencephalon cell migration,42,1.9,0.00316,Neuronal Development
Post-AAE,regulation of postsynaptic membrane neurotransmitter receptor levels,47,1.88,9.85e-4,Synaptic Transmission
Post-AAE,protein localization to synapse,43,1.83,0.0157,Dendrite & Synapse
Post-AAE,associative learning,62,1.76,6.05e-4,Learning & Behavior
Post-AAE,regulation of postsynapse organization,88,1.74,1.57e-6,Dendrite & Synapse
Post-AAE,neuron migration,90,1.73,1.53e-6,Neuronal Development
Post-AAE,regulation of synapse structure or activity,201,1.72,1.26e-17,Dendrite & Synapse
Post-AAE,central nervous system neuron development,59,1.72,0.00266,Neuronal Development
Post-AAE,positive regulation of mRNA catabolic process,66,1.71,7.72e-4,RNA & Chromatin
Post-AAE,regulation of synapse organization,196,1.71,1.11e-16,Dendrite & Synapse
Post-AAE,regulation of synapse assembly,110,1.71,6.27e-8,Dendrite & Synapse
Post-AAE,positive regulation of mRNA metabolic process,80,1.7,6.74e-5,RNA & Chromatin
Post-AAE,cerebral cortex development,78,1.68,1.67e-4,Neuronal Development
Post-AAE,dendrite development,69,1.68,0.00116,Dendrite & Synapse
Post-AAE,regulation of blood vessel endothelial cell migration,56,1.67,0.0219,Neuronal Development
Post-AAE,telencephalon development,172,1.67,1.18e-12,Neuronal Development
Post-AAE,pallium development,118,1.66,1.3e-7,Development & Growth
Post-AAE,synapse assembly,80,1.66,2.06e-4,Dendrite & Synapse
Post-AAE,learning,97,1.66,9.92e-6,Learning & Behavior
Post-AAE,hippocampus development,57,1.65,0.0327,Cell Signaling
Post-AAE,action potential,76,1.63,0.00175,Synaptic Transmission
Post-AAE,negative regulation of cellular response to growth factor stimulus,62,1.63,0.0327,Development & Growth
Post-AAE,central nervous system neuron differentiation,122,1.61,6.64e-7,Neuronal Development
Post-AAE,regulation of synaptic plasticity,124,1.6,1.04e-6,Dendrite & Synapse
Post-AAE,forebrain development,236,1.6,4.77e-15,Neuronal Development
Post-AAE,negative regulation of neuron projection development,73,1.59,0.0111,Axon & Projection
Post-AAE,negative regulation of protein catabolic process,69,1.59,0.0232,RNA & Chromatin
Post-AAE,regulation of axonogenesis,80,1.58,0.00531,Axon & Projection
Post-AAE,cell junction assembly,163,1.57,9.7e-9,Adhesion & Junction
Post-AAE,modulation of chemical synaptic transmission,290,1.56,9.47e-17,Synaptic Transmission
Post-AAE,regulation of cell junction assembly,155,1.55,1.36e-7,Adhesion & Junction
Post-AAE,regulation of trans-synaptic signaling,290,1.55,1.58e-16,Synaptic Transmission
Post-AAE,branching morphogenesis of an epithelial tube,78,1.55,0.0197,Development & Growth
Post-AAE,potassium ion transmembrane transport,95,1.55,0.00137,Ion Transport
Post-AAE,adult behavior,90,1.54,0.00594,Learning & Behavior
Post-AAE,morphogenesis of a branching epithelium,93,1.54,0.00407,Development & Growth
Post-AAE,regulation of mRNA stability,106,1.53,5.83e-4,RNA & Chromatin
Post-AAE,neurotransmitter transport,77,1.53,0.0476,Synaptic Transmission
Post-AAE,morphogenesis of a branching structure,98,1.53,0.0025,Development & Growth
Post-AAE,axon guidance,126,1.52,6.33e-5,Axon & Projection
Post-AAE,positive regulation of developmental growth,89,1.52,0.00986,Development & Growth
Post-AAE,neuron projection morphogenesis,268,1.52,1.46e-13,Axon & Projection
Post-AAE,plasma membrane bounded cell projection morphogenesis,270,1.52,2.08e-13,Development & Growth
Post-AAE,potassium ion transport,99,1.52,0.00319,Ion Transport
Post-AAE,regulation of membrane potential,252,1.52,2.77e-12,Synaptic Transmission
Post-AAE,neuron projection guidance,126,1.51,1.15e-4,Axon & Projection
Post-AAE,regulation of neuron projection development,234,1.51,6.56e-11,Axon & Projection
Post-AAE,cardiac chamber development,93,1.51,0.012,Development & Growth
Post-AAE,cell projection morphogenesis,272,1.51,3.75e-13,Development & Growth
Post-AAE,regulation of small GTPase mediated signal transduction,173,1.51,2.78e-7,Cell Signaling
Post-AAE,regulation of cell size,95,1.51,0.0106,Other
Post-AAE,synapse organization,205,1.51,3.87e-9,Dendrite & Synapse
Post-AAE,sodium ion transmembrane transport,88,1.51,0.0225,Ion Transport
Post-AAE,regulation of RNA stability,111,1.5,0.00164,RNA & Chromatin
Post-AAE,cell morphogenesis involved in neuron differentiation,239,1.5,1.11e-10,Neuronal Development
Post-AAE,positive regulation of monoatomic ion transport,98,1.49,0.0115,Ion Transport
Post-AAE,regulation of endothelial cell migration,91,1.49,0.0245,Neuronal Development
Post-AAE,learning or memory,150,1.48,2.87e-5,Learning & Behavior
Post-AAE,respiratory tube development,104,1.48,0.00846,Development & Growth
Post-AAE,regulation of mRNA catabolic process,116,1.48,0.00241,RNA & Chromatin
Post-AAE,axonogenesis,194,1.48,1.72e-7,Axon & Projection
Post-AAE,renal system development,165,1.48,5.58e-6,Development & Growth
Post-AAE,cell morphogenesis,376,1.48,5.2e-17,Development & Growth
Post-AAE,homophilic cell-cell adhesion,92,1.48,0.0466,Adhesion & Junction
Post-AAE,cognition,176,1.47,2.2e-6,Learning & Behavior
Post-AAE,positive regulation of transmembrane transport,94,1.47,0.0405,Ion Transport
Post-AAE,kidney development,159,1.47,2.02e-5,Development & Growth
Post-AAE,protein localization to nucleus,104,1.46,0.022,Other
Post-AAE,regulation of developmental growth,161,1.46,3.28e-5,Development & Growth
Post-AAE,lung development,100,1.45,0.0444,Development & Growth
Post-AAE,heart development,295,1.45,1.53e-11,Development & Growth
Post-AAE,locomotory behavior,111,1.45,0.0171,Learning & Behavior
Post-AAE,positive regulation of cell projection organization,180,1.44,1.15e-5,Other
Post-AAE,regulation of cell projection organization,337,1.44,5.88e-13,Other
Post-AAE,cell junction organization,293,1.44,9.57e-11,Adhesion & Junction
Post-AAE,regulation of mRNA metabolic process,178,1.44,1.97e-5,RNA & Chromatin
Post-AAE,regulation of neurogenesis,180,1.44,1.7e-5,Neuronal Development
Post-AAE,regulation of plasma membrane bounded cell projection organization,327,1.44,2.74e-12,Other
Post-AAE,bone development,105,1.44,0.0436,Development & Growth
Post-AAE,establishment or maintenance of cell polarity,109,1.44,0.0322,Adhesion & Junction
Post-AAE,respiratory system development,113,1.43,0.024,Development & Growth
Post-AAE,neuron projection development,368,1.43,8.5e-14,Axon & Projection
Post-AAE,growth,222,1.43,3.12e-7,Development & Growth
Post-AAE,developmental growth,222,1.43,3.12e-7,Development & Growth
Post-AAE,synaptic signaling,253,1.43,1.34e-8,Dendrite & Synapse
Post-AAE,regulation of monoatomic cation transmembrane transport,133,1.43,0.00406,Ion Transport
Post-AAE,regulation of nervous system development,221,1.42,8.99e-7,Neuronal Development
Post-AAE,brain development,381,1.42,1.01e-13,Neuronal Development
Post-AAE,axon development,216,1.42,1.66e-6,Axon & Projection
Post-AAE,cell surface receptor protein tyrosine kinase signaling pathway,217,1.42,1.77e-6,Cell Signaling
Post-AAE,trans-synaptic signaling,229,1.42,5.36e-7,Synaptic Transmission
Post-AAE,negative regulation of cell migration,151,1.42,0.00125,Neuronal Development
Post-AAE,regulation of cell morphogenesis,123,1.41,0.0198,Development & Growth
Post-AAE,connective tissue development,126,1.41,0.0183,Development & Growth
Post-AAE,generation of neurons,606,1.41,5.63e-23,Neuronal Development
Post-AAE,behavior,331,1.41,5.88e-11,Learning & Behavior
Post-AAE,chemical synaptic transmission,213,1.41,5.4e-6,Synaptic Transmission
Post-AAE,anterograde trans-synaptic signaling,213,1.41,5.4e-6,Synaptic Transmission
Post-AAE,positive regulation of nervous system development,137,1.41,0.00747,Neuronal Development
Post-AAE,regulation of anatomical structure morphogenesis,420,1.4,3.94e-14,Development & Growth
Post-AAE,regulation of monoatomic ion transmembrane transport,139,1.4,0.00925,Ion Transport
Post-AAE,neuron development,452,1.4,2.78e-15,Neuronal Development
Post-AAE,head development,400,1.4,5.48e-13,Development & Growth
Post-AAE,central nervous system development,511,1.4,1.49e-17,Neuronal Development
Post-AAE,tube morphogenesis,346,1.4,8.48e-11,Development & Growth
Post-AAE,neuron differentiation,562,1.4,1.86e-19,Neuronal Development
Post-AAE,neurogenesis,689,1.39,1.05e-24,Neuronal Development
Post-AAE,circulatory system development,474,1.39,8.8e-16,Development & Growth
Post-AAE,reproductive structure development,147,1.39,0.00777,Development & Growth
Post-AAE,vascular process in circulatory system,137,1.39,0.0233,Development & Growth
Post-AAE,enzyme-linked receptor protein signaling pathway,311,1.39,8.27e-9,Cell Signaling
Post-AAE,regulation of anatomical structure size,248,1.38,2.7e-6,Other
Post-AAE,reproductive system development,148,1.38,0.0132,Development & Growth
Post-AAE,small GTPase-mediated signal transduction,135,1.38,0.0409,Cell Signaling
Post-AAE,regulation of metal ion transport,170,1.37,0.00283,Ion Transport
Post-AAE,blood vessel morphogenesis,216,1.37,7.98e-5,Development & Growth
Post-AAE,tube development,451,1.37,3.52e-13,Development & Growth
Post-AAE,blood vessel development,263,1.37,2.31e-6,Development & Growth
Post-AAE,regulation of cellular component size,173,1.37,0.00382,General Regulation
Post-AAE,negative regulation of cell motility,153,1.37,0.0165,Other
Post-AAE,vasculature development,275,1.37,1.36e-6,Development & Growth
Post-AAE,nervous system development,1102,1.36,6.29e-37,Neuronal Development
Post-AAE,negative regulation of catabolic process,185,1.36,0.00174,RNA & Chromatin
Post-AAE,regulation of monoatomic ion transport,197,1.36,7.4e-4,Ion Transport
