I.No	gene_symbol	gene_ensembl_id	mirna_name	mirna_db_id	interaction_score
144	NXPH2	ENSG00000144227	hsa-miR-542-3p	MIMAT0003389	0.997415428605598
145	MAPKAPK2	ENSG00000162889	hsa-miR-137-3p	MIMAT0000429	0.997385995780682
146	HNRNPDL	ENSG00000152795	hsa-miR-137-3p	MIMAT0000429	0.997380357487243
147	NCKAP1	ENSG00000061676	hsa-miR-1252-3p	MIMAT0026744	0.997291500420305
148	PLEKHM3	ENSG00000178385	hsa-miR-542-3p	MIMAT0003389	0.997289892351383
149	KDM7A	ENSG00000006459	hsa-miR-1252-3p	MIMAT0026744	0.997281607699536
150	PDE10A	ENSG00000112541	hsa-miR-137-3p	MIMAT0000429	0.997274128115288
151	TMX1	ENSG00000139921	hsa-miR-137-3p	MIMAT0000429	0.997252862583427
152	LURAP1L	ENSG00000153714	hsa-miR-137-3p	MIMAT0000429	0.997229802435764
153	C6orf47	ENSG00000204439	hsa-miR-137-3p	MIMAT0000429	0.997224501474454
154	NFYB	ENSG00000120837	hsa-miR-7154-5p	MIMAT0028218	0.997224484086553
155	AK7	ENSG00000140057	hsa-miR-3618	MIMAT0017998	0.997217234747162
156	POU2F1	ENSG00000143190	hsa-miR-148a-5p	MIMAT0004549	0.997174300984237
157	MRPS33	ENSG00000090263	hsa-miR-380-3p	MIMAT0000735	0.997158382203894
158	RC3H2	ENSG00000056586	hsa-miR-1252-3p	MIMAT0026744	0.997144029800823
159	PHF6	ENSG00000156531	hsa-miR-4496	MIMAT0019031	0.997117563221606
160	GLIPR1L1	ENSG00000173401	hsa-miR-4496	MIMAT0019031	0.997113260977698
161	CCSER1	ENSG00000184305	hsa-miR-380-3p	MIMAT0000735	0.997105195639251
162	MED11	ENSG00000161920	hsa-miR-137-3p	MIMAT0000429	0.997076888504186
163	GPCPD1	ENSG00000125772	hsa-miR-137-3p	MIMAT0000429	0.997065315575204
164	NCKAP5	ENSG00000176771	hsa-miR-137-3p	MIMAT0000429	0.997047941324176
165	FYN	ENSG00000010810	hsa-miR-380-3p	MIMAT0000735	0.996999178430572
166	UST	ENSG00000111962	hsa-miR-7154-5p	MIMAT0028218	0.996967980257779
167	ABHD6	ENSG00000163686	hsa-miR-137-3p	MIMAT0000429	0.996960423346646
168	ARID4B	ENSG00000054267	hsa-miR-137-3p	MIMAT0000429	0.996920398276198
169	MMP16	ENSG00000156103	hsa-miR-4496	MIMAT0019031	0.99691839135108
170	CTNNB1	ENSG00000168036	hsa-miR-4496	MIMAT0019031	0.996904680284661
171	ZBTB7B	ENSG00000160685	hsa-miR-137-3p	MIMAT0000429	0.996818040758369
172	KLF12	ENSG00000118922	hsa-miR-4496	MIMAT0019031	0.996806362941551
173	RBPJ	ENSG00000168214	hsa-miR-137-3p	MIMAT0000429	0.996748576018556
174	YBX3	ENSG00000060138	hsa-miR-137-3p	MIMAT0000429	0.996743404908117
175	ZBTB20	ENSG00000181722	hsa-miR-7154-5p	MIMAT0028218	0.996692006495887
176	SCRIB	ENSG00000180900	hsa-miR-5007-5p	MIMAT0021035	0.996645600202663
177	LRRTM3	ENSG00000198739	hsa-miR-380-3p	MIMAT0000735	0.996641929388841
178	SOX6	ENSG00000110693	hsa-miR-1252-3p	MIMAT0026744	0.996609484803767
179	FAM126B	ENSG00000155744	hsa-miR-137-3p	MIMAT0000429	0.996606297013166
180	GIGYF1	ENSG00000146830	hsa-miR-137-3p	MIMAT0000429	0.996604365430887
181	KTN1	ENSG00000126777	hsa-miR-3618	MIMAT0017998	0.996598500253733
182	LIN28B	ENSG00000187772	hsa-miR-3618	MIMAT0017998	0.996570671163653
183	SLC6A8	ENSG00000130821	hsa-miR-137-3p	MIMAT0000429	0.996556664588312
184	TSNAX	ENSG00000116918	hsa-miR-137-3p	MIMAT0000429	0.996543740284309
185	NUTM2D	ENSG00000214562	hsa-miR-3618	MIMAT0017998	0.996539167250621
186	RWDD4	ENSG00000182552	hsa-miR-137-3p	MIMAT0000429	0.996442516683246
187	GLIS3	ENSG00000107249	hsa-miR-7154-5p	MIMAT0028218	0.996397348140766
188	CUL5	ENSG00000166266	hsa-miR-380-3p	MIMAT0000735	0.99634860435226
189	SLITRK5	ENSG00000165300	hsa-miR-1252-3p	MIMAT0026744	0.99632135491378
190	FHOD3	ENSG00000134775	hsa-miR-542-3p	MIMAT0003389	0.996312847444833
191	DMRT2	ENSG00000173253	hsa-miR-137-3p	MIMAT0000429	0.996296950685645
192	GPR137B	ENSG00000077585	hsa-miR-137-3p	MIMAT0000429	0.996296420954852
193	MAPK1IP1L	ENSG00000168175	hsa-miR-7154-5p	MIMAT0028218	0.996232060812517
194	SIK1	ENSG00000142178	hsa-miR-137-3p	MIMAT0000429	0.996228980518799
195	ZC3H3	ENSG00000014164	hsa-miR-137-3p	MIMAT0000429	0.996205785510676
196	ZNF618	ENSG00000157657	hsa-miR-542-3p	MIMAT0003389	0.996200676795926
197	SRSF1	ENSG00000136450	hsa-miR-3618	MIMAT0017998	0.996178580710898
198	CLTC	ENSG00000141367	hsa-miR-7154-5p	MIMAT0028218	0.996099176592923
199	RAB21	ENSG00000080371	hsa-miR-380-3p	MIMAT0000735	0.996093382926042
200	CDC37L1	ENSG00000106993	hsa-miR-137-3p	MIMAT0000429	0.996073791667974
201	CBL	ENSG00000110395	hsa-miR-380-3p	MIMAT0000735	0.996069747676255
202	SPPL3	ENSG00000157837	hsa-miR-4496	MIMAT0019031	0.995989798387894
203	OR5A1	ENSG00000172320	hsa-miR-542-3p	MIMAT0003389	0.995962998023941
204	TMPO	ENSG00000120802	hsa-miR-137-3p	MIMAT0000429	0.99595855722857
205	ZRANB2	ENSG00000132485	hsa-miR-3618	MIMAT0017998	0.995938723465607
206	RFX3	ENSG00000080298	hsa-miR-4496	MIMAT0019031	0.995906242828022
207	PTPRG	ENSG00000144724	hsa-miR-5007-5p	MIMAT0021035	0.995854907487658
208	C15orf61	ENSG00000189227	hsa-miR-380-3p	MIMAT0000735	0.99584918476139
209	PTN	ENSG00000105894	hsa-miR-137-3p	MIMAT0000429	0.995835512947313
210	COL19A1	ENSG00000082293	hsa-miR-137-3p	MIMAT0000429	0.995832096893952
211	TP53TG3E	ENSG00000275034	hsa-miR-380-3p	MIMAT0000735	0.995807963990462
212	APLF	ENSG00000169621	hsa-miR-542-3p	MIMAT0003389	0.995795796424837
213	AKT2	ENSG00000105221	hsa-miR-137-3p	MIMAT0000429	0.995767369245357
214	MGAT4C	ENSG00000182050	hsa-miR-1252-3p	MIMAT0026744	0.995750468190707
215	TP53TG3	ENSG00000183632	hsa-miR-380-3p	MIMAT0000735	0.995716223387605
216	GJC1	ENSG00000182963	hsa-miR-137-3p	MIMAT0000429	0.99570452423438
217	MAP3K14	ENSG00000006062	hsa-miR-137-3p	MIMAT0000429	0.995616073690656
218	ACOT11	ENSG00000162390	hsa-miR-329-5p	MIMAT0026555	0.995614875744006
219	ZNF148	ENSG00000163848	hsa-miR-137-3p	MIMAT0000429	0.995610494558558
220	TRIM36	ENSG00000152503	hsa-miR-3618	MIMAT0017998	0.995552703156633
221	RIC8B	ENSG00000111785	hsa-miR-137-3p	MIMAT0000429	0.99553583189373
222	ZBTB20	ENSG00000181722	hsa-miR-4496	MIMAT0019031	0.995527130144927
223	MORC3	ENSG00000159256	hsa-miR-542-3p	MIMAT0003389	0.995509784172849
224	RORA	ENSG00000069667	hsa-miR-137-3p	MIMAT0000429	0.995448799005118
225	ILF3	ENSG00000129351	hsa-miR-3618	MIMAT0017998	0.995399357026276
226	EGR2	ENSG00000122877	hsa-miR-3618	MIMAT0017998	0.995346592066816
227	MARCKS	ENSG00000277443	hsa-miR-148a-5p	MIMAT0004549	0.995328914605493
228	NEFH	ENSG00000100285	hsa-miR-137-3p	MIMAT0000429	0.995288934446959
229	MYB	ENSG00000118513	hsa-miR-7154-5p	MIMAT0028218	0.99520900928411
230	LBX1	ENSG00000138136	hsa-miR-137-3p	MIMAT0000429	0.995208739070789
231	PTER	ENSG00000165983	hsa-miR-380-3p	MIMAT0000735	0.995208045802762
232	ZNF704	ENSG00000164684	hsa-miR-7154-5p	MIMAT0028218	0.995185135434729
233	DDI2	ENSG00000197312	hsa-miR-542-3p	MIMAT0003389	0.995115467430098
234	ZBTB26	ENSG00000171448	hsa-miR-4496	MIMAT0019031	0.995073509902691
235	CUX2	ENSG00000111249	hsa-miR-5007-5p	MIMAT0021035	0.995053279917856
236	TAF7L	ENSG00000102387	hsa-miR-137-3p	MIMAT0000429	0.994996698859411
237	PURA	ENSG00000185129	hsa-miR-4496	MIMAT0019031	0.994987973650952
238	CUL3	ENSG00000036257	hsa-miR-3618	MIMAT0017998	0.994961399786174
239	MDGA2	ENSG00000139915	hsa-miR-329-5p	MIMAT0026555	0.994938868072798
240	PCDH9	ENSG00000184226	hsa-miR-1252-3p	MIMAT0026744	0.994920973722486
241	KCNAB3	ENSG00000170049	hsa-miR-137-3p	MIMAT0000429	0.994894031116136
242	FOXN3	ENSG00000053254	hsa-miR-137-3p	MIMAT0000429	0.994835247916018
243	KIF13B	ENSG00000197892	hsa-miR-5007-5p	MIMAT0021035	0.994773826615597
244	ZFY	ENSG00000067646	hsa-miR-380-3p	MIMAT0000735	0.994772000148282
245	GDAP2	ENSG00000196505	hsa-miR-4496	MIMAT0019031	0.994766744963162
246	ALDH1A2	ENSG00000128918	hsa-miR-137-3p	MIMAT0000429	0.994723039654691
247	CUX1	ENSG00000257923	hsa-miR-137-3p	MIMAT0000429	0.994702277179721
248	TP53TG3D	ENSG00000205456	hsa-miR-380-3p	MIMAT0000735	0.99468366993349
249	PAQR3	ENSG00000163291	hsa-miR-137-3p	MIMAT0000429	0.994672961198658
250	UBR3	ENSG00000144357	hsa-miR-148a-5p	MIMAT0004549	0.994666173454654
251	IPMK	ENSG00000151151	hsa-miR-7154-5p	MIMAT0028218	0.994644915157545
252	PDPN	ENSG00000162493	hsa-miR-3618	MIMAT0017998	0.994622584593717
253	PALM2AKAP2	ENSG00000157654	hsa-miR-4496	MIMAT0019031	0.994528288719725
254	GDF11	ENSG00000135414	hsa-miR-6780a-3p	MIMAT0027461	0.994525262623411
255	TBC1D1	ENSG00000065882	hsa-miR-137-3p	MIMAT0000429	0.994501193440967
256	UBN2	ENSG00000157741	hsa-miR-137-3p	MIMAT0000429	0.994497566197635
257	CHD4	ENSG00000111642	hsa-miR-4496	MIMAT0019031	0.994486525197291
258	GABRA2	ENSG00000151834	hsa-miR-7154-5p	MIMAT0028218	0.994469249589089
259	RNF11	ENSG00000123091	hsa-miR-4496	MIMAT0019031	0.99440463107846
260	ZBTB20	ENSG00000181722	hsa-miR-6780a-3p	MIMAT0027461	0.994320503131907
261	PLCB4	ENSG00000101333	hsa-miR-4496	MIMAT0019031	0.994298007057716
262	PTPN11	ENSG00000179295	hsa-miR-3618	MIMAT0017998	0.994296660334335
263	CNTN3	ENSG00000113805	hsa-miR-7154-5p	MIMAT0028218	0.994285000532715
264	C1orf141	ENSG00000203963	hsa-miR-7154-5p	MIMAT0028218	0.994262141502953
265	SYT9	ENSG00000170743	hsa-miR-4496	MIMAT0019031	0.994257460092155
266	ATP11C	ENSG00000101974	hsa-miR-380-3p	MIMAT0000735	0.994171831997381
267	SLC17A6	ENSG00000091664	hsa-miR-137-3p	MIMAT0000429	0.994122931574744
268	MRPL42	ENSG00000198015	hsa-miR-1252-3p	MIMAT0026744	0.994115741222192
269	METTL9	ENSG00000197006	hsa-miR-137-3p	MIMAT0000429	0.99408846185208
270	UBE2G1	ENSG00000132388	hsa-miR-137-3p	MIMAT0000429	0.994028731505909
271	MARCHF7	ENSG00000136536	hsa-miR-137-3p	MIMAT0000429	0.993985884433928
272	XPO1	ENSG00000082898	hsa-miR-1252-3p	MIMAT0026744	0.993949042932419
273	TRIM23	ENSG00000113595	hsa-miR-137-3p	MIMAT0000429	0.993911363352095
274	RBM27	ENSG00000091009	hsa-miR-137-3p	MIMAT0000429	0.993905210909949
275	USP15	ENSG00000135655	hsa-miR-1252-3p	MIMAT0026744	0.993868554895445
276	SLC35A3	ENSG00000117620	hsa-miR-1252-3p	MIMAT0026744	0.993862977956317
277	NCOA3	ENSG00000124151	hsa-miR-137-3p	MIMAT0000429	0.993853848174874
278	EFR3A	ENSG00000132294	hsa-miR-137-3p	MIMAT0000429	0.993847747193681
279	TMEM212	ENSG00000186329	hsa-miR-148a-5p	MIMAT0004549	0.993817994998024
280	DEPP1	ENSG00000165507	hsa-miR-542-3p	MIMAT0003389	0.993687432228322
281	NR2C1	ENSG00000120798	hsa-miR-212-5p	MIMAT0022695	0.993603865447692
282	ESRRA	ENSG00000173153	hsa-miR-5007-5p	MIMAT0021035	0.993538049053791
283	JADE1	ENSG00000077684	hsa-miR-380-3p	MIMAT0000735	0.993536075228616
284	PWWP2A	ENSG00000170234	hsa-miR-137-3p	MIMAT0000429	0.993499819427053
285	SH3TC2	ENSG00000169247	hsa-miR-1252-3p	MIMAT0026744	0.993497019064359
286	TCF4	ENSG00000196628	hsa-miR-137-3p	MIMAT0000429	0.993460112724724
287	ST8SIA4	ENSG00000113532	hsa-miR-7154-5p	MIMAT0028218	0.993456891756861
288	NFAT5	ENSG00000102908	hsa-miR-4496	MIMAT0019031	0.993439039410337
289	TMEM229B	ENSG00000198133	hsa-miR-137-3p	MIMAT0000429	0.993379513976086
290	TLL2	ENSG00000095587	hsa-miR-7154-5p	MIMAT0028218	0.993352185957599
291	CDK13	ENSG00000065883	hsa-miR-1252-3p	MIMAT0026744	0.993324715610265
292	ZFHX4	ENSG00000091656	hsa-miR-148a-5p	MIMAT0004549	0.993318302263817
293	MAPK6	ENSG00000069956	hsa-miR-7154-5p	MIMAT0028218	0.993304535562851
294	FAM237B	ENSG00000283267	hsa-miR-380-3p	MIMAT0000735	0.993291221735821
295	TRIM36	ENSG00000152503	hsa-miR-380-3p	MIMAT0000735	0.993253515039837
296	GUCY1A2	ENSG00000152402	hsa-miR-1252-3p	MIMAT0026744	0.9932189104766
297	NPFFR1	ENSG00000148734	hsa-miR-542-3p	MIMAT0003389	0.99306426333043
298	PUM2	ENSG00000055917	hsa-miR-542-3p	MIMAT0003389	0.99305653751009
299	IPMK	ENSG00000151151	hsa-miR-380-3p	MIMAT0000735	0.993050539628278
300	SLC4A7	ENSG00000033867	hsa-miR-137-3p	MIMAT0000429	0.99304087906925
301	CEP192	ENSG00000101639	hsa-miR-6780a-3p	MIMAT0027461	0.99302879176348
302	MAPK8	ENSG00000107643	hsa-miR-7154-5p	MIMAT0028218	0.992999662038655
303	FRMD4B	ENSG00000114541	hsa-miR-7154-5p	MIMAT0028218	0.992995574620897
